Delay [ns]	StS norm
4.830000e+00	1.780133e+08
5.130000e+00	1.721346e+08
5.430000e+00	1.837957e+08
5.730000e+00	1.489559e+08
5.780000e+00	1.101221e+08
5.880000e+00	1.297800e+08
5.980000e+00	1.950866e+08
6.030000e+00	1.756923e+08
6.055000e+00	1.275867e+08
6.080000e+00	1.371093e+08
6.105000e+00	1.621264e+08
6.130000e+00	1.326050e+08
6.155000e+00	1.347912e+08
6.180000e+00	1.393895e+08
6.205000e+00	1.520993e+08
6.230000e+00	1.359954e+08
6.280000e+00	1.572430e+08
6.380000e+00	1.467269e+08
6.480000e+00	1.309992e+08
6.530000e+00	1.473689e+08
6.830000e+00	1.548567e+08
7.130000e+00	1.659779e+08
7.430000e+00	1.149099e+08
7.730000e+00	8.916759e+07
7.780000e+00	1.334809e+08
7.880000e+00	1.659065e+08
7.980000e+00	1.049000e+08
8.030000e+00	9.873991e+07
8.055000e+00	1.194008e+08
8.080000e+00	1.177111e+08
8.105000e+00	1.691639e+08
8.130000e+00	1.293255e+08
8.155000e+00	1.397717e+08
8.180000e+00	1.446588e+08
8.205000e+00	1.082595e+08
8.230000e+00	1.381803e+08
8.280000e+00	1.272552e+08
8.380000e+00	1.523884e+08
8.480000e+00	1.249172e+08
8.530000e+00	8.459950e+07
8.830000e+00	1.439633e+08
9.130000e+00	1.350606e+08
9.430000e+00	7.842862e+07
9.730000e+00	1.456460e+08
9.780000e+00	1.338172e+08
9.880000e+00	1.193380e+08
9.980000e+00	1.427788e+08
1.003000e+01	1.208174e+08
1.005500e+01	1.337823e+08
1.008000e+01	1.388307e+08
1.010500e+01	1.021360e+08
1.013000e+01	1.277387e+08
1.015500e+01	1.424542e+08
1.018000e+01	1.048101e+08
1.020500e+01	1.426068e+08
1.023000e+01	1.009010e+08
1.028000e+01	9.724332e+07
1.038000e+01	1.822950e+08
1.048000e+01	1.154543e+08
1.053000e+01	1.453493e+08
1.083000e+01	1.318963e+08
1.113000e+01	1.327456e+08
1.143000e+01	1.289453e+08
1.173000e+01	8.957497e+07
1.178000e+01	9.837474e+07
1.188000e+01	1.350010e+08
1.198000e+01	8.711921e+07
1.203000e+01	1.267339e+08
1.205500e+01	1.420570e+08
1.208000e+01	1.235470e+08
1.210500e+01	1.178222e+08
1.213000e+01	1.249445e+08
1.215500e+01	1.156720e+08
1.218000e+01	1.242467e+08
1.220500e+01	1.482817e+08
1.223000e+01	1.333510e+08
1.228000e+01	1.227929e+08
1.238000e+01	7.642005e+07
1.248000e+01	6.788558e+07
1.253000e+01	1.246091e+08
1.283000e+01	1.346109e+08
1.313000e+01	1.470265e+08
1.343000e+01	9.217352e+07
1.373000e+01	8.269464e+07
1.378000e+01	9.805304e+07
1.388000e+01	8.832582e+07
1.398000e+01	1.175596e+08
1.403000e+01	8.281302e+07
1.405500e+01	8.416706e+07
1.408000e+01	1.060720e+08
1.410500e+01	9.647316e+07
1.413000e+01	9.817904e+07
1.415500e+01	9.721340e+07
1.418000e+01	1.531044e+08
1.420500e+01	8.484837e+07
1.423000e+01	1.291193e+08
1.428000e+01	1.169023e+08
1.438000e+01	1.070044e+08
1.448000e+01	1.255562e+08
1.453000e+01	9.601286e+07
1.483000e+01	1.211611e+08
1.513000e+01	1.028864e+08
1.543000e+01	8.860046e+07
1.573000e+01	8.378931e+07
1.578000e+01	1.182233e+08
1.588000e+01	1.101026e+08
1.598000e+01	1.378332e+08
1.603000e+01	8.292728e+07
1.605500e+01	1.256523e+08
1.608000e+01	1.402112e+08
1.610500e+01	7.144693e+07
1.613000e+01	1.069925e+08
1.615500e+01	8.062249e+07
1.618000e+01	7.283498e+07
1.620500e+01	9.109929e+07
1.623000e+01	1.041976e+08
1.628000e+01	9.930090e+07
1.638000e+01	1.241244e+08
1.648000e+01	1.333479e+08
1.653000e+01	9.736780e+07
1.683000e+01	9.539733e+07
1.713000e+01	1.013414e+08
1.743000e+01	1.089842e+08
1.773000e+01	6.081941e+07
1.778000e+01	9.015151e+07
1.788000e+01	1.008339e+08
1.798000e+01	1.027496e+08
1.803000e+01	9.138545e+07
1.805500e+01	1.053244e+08
1.808000e+01	1.354660e+08
1.810500e+01	7.091261e+07
1.813000e+01	1.072309e+08
1.815500e+01	1.415252e+08
1.818000e+01	1.052541e+08
1.820500e+01	9.331445e+07
1.823000e+01	1.049765e+08
1.828000e+01	1.106276e+08
1.838000e+01	9.287801e+07
1.848000e+01	9.869086e+07
1.853000e+01	7.892345e+07
1.883000e+01	1.175937e+08
1.913000e+01	1.025203e+08
1.943000e+01	6.875878e+07
1.973000e+01	7.095550e+07
1.978000e+01	9.196640e+07
1.988000e+01	1.070197e+08
1.998000e+01	1.342776e+08
2.003000e+01	1.007851e+08
2.005500e+01	9.080147e+07
2.008000e+01	1.055758e+08
2.010500e+01	9.325467e+07
2.013000e+01	1.411088e+08
2.015500e+01	8.195846e+07
2.018000e+01	7.291524e+07
2.020500e+01	8.962356e+07
2.023000e+01	8.816090e+07
2.028000e+01	9.026544e+07
2.038000e+01	1.113651e+08
2.048000e+01	1.354162e+08
2.053000e+01	5.609423e+07
2.083000e+01	7.251891e+07
2.113000e+01	9.726847e+07
2.143000e+01	8.863972e+07
2.173000e+01	9.144533e+07
2.178000e+01	1.301706e+08
2.188000e+01	1.037645e+08
2.198000e+01	1.033941e+08
2.203000e+01	1.030795e+08
2.205500e+01	8.955776e+07
2.208000e+01	9.425014e+07
2.210500e+01	1.085574e+08
2.213000e+01	1.087241e+08
2.215500e+01	7.687191e+07
2.218000e+01	1.036514e+08
2.220500e+01	1.228305e+08
2.223000e+01	9.746552e+07
2.228000e+01	9.081751e+07
2.238000e+01	8.029222e+07
2.248000e+01	5.860994e+07
2.253000e+01	9.057832e+07
2.283000e+01	8.714468e+07
2.313000e+01	8.819117e+07
2.343000e+01	8.813180e+07
2.373000e+01	1.078558e+08
2.378000e+01	7.279756e+07
2.388000e+01	9.066094e+07
2.398000e+01	9.982785e+07
2.403000e+01	1.008745e+08
2.405500e+01	7.046786e+07
2.408000e+01	1.261075e+08
2.410500e+01	1.400391e+08
2.413000e+01	1.042792e+08
2.415500e+01	7.882549e+07
2.418000e+01	5.654018e+07
2.420500e+01	7.551072e+07
2.423000e+01	8.776256e+07
2.428000e+01	8.288224e+07
2.438000e+01	1.008732e+08
2.448000e+01	1.047014e+08
2.453000e+01	5.640219e+07
2.483000e+01	6.556437e+07
2.513000e+01	1.190081e+08
2.543000e+01	1.072093e+08
2.573000e+01	1.313710e+08
2.578000e+01	1.379848e+08
2.588000e+01	8.277564e+07
2.598000e+01	1.166752e+08
2.603000e+01	1.324073e+08
2.605500e+01	1.056688e+08
2.608000e+01	1.124888e+08
2.610500e+01	1.007403e+08
2.613000e+01	1.153949e+08
2.615500e+01	7.573177e+07
2.618000e+01	8.198356e+07
2.620500e+01	9.697790e+07
2.623000e+01	6.079958e+07
2.628000e+01	1.152890e+08
2.638000e+01	1.340047e+08
2.648000e+01	4.511987e+07
2.653000e+01	7.580925e+07
2.683000e+01	5.777404e+07
2.713000e+01	8.240490e+07
2.743000e+01	5.277884e+07
2.773000e+01	8.830908e+07
2.778000e+01	5.258574e+07
2.788000e+01	1.042972e+08
2.798000e+01	1.111959e+08
2.803000e+01	7.298114e+07
2.805500e+01	1.149902e+08
2.808000e+01	8.376116e+07
2.810500e+01	1.005931e+08
2.813000e+01	7.233886e+07
2.815500e+01	1.168825e+08
2.818000e+01	6.901682e+07
2.820500e+01	7.285516e+07
2.823000e+01	9.555639e+07
2.828000e+01	1.330802e+08
2.838000e+01	6.586186e+07
2.848000e+01	1.002314e+08
2.853000e+01	4.468340e+07
2.883000e+01	1.057921e+08
2.913000e+01	6.552563e+07
2.943000e+01	9.987301e+07
2.973000e+01	4.507301e+07
2.978000e+01	6.109374e+07
2.988000e+01	1.054745e+08
2.998000e+01	6.772773e+07
3.003000e+01	7.534198e+07
3.005500e+01	6.876010e+07
3.008000e+01	1.033133e+08
3.010500e+01	7.851680e+07
3.013000e+01	1.055044e+08
3.015500e+01	8.397364e+07
3.018000e+01	7.459075e+07
3.020500e+01	7.466266e+07
3.023000e+01	9.454665e+07
3.028000e+01	9.599323e+07
3.038000e+01	6.313225e+07
3.048000e+01	8.983446e+07
3.053000e+01	8.196488e+07
3.083000e+01	5.243200e+07
3.113000e+01	7.977062e+07
3.143000e+01	9.560102e+07
3.173000e+01	7.672902e+07
3.178000e+01	1.089349e+08
3.188000e+01	7.778647e+07
3.198000e+01	5.532046e+07
3.203000e+01	4.916416e+07
3.205500e+01	8.189525e+07
3.208000e+01	9.395911e+07
3.210500e+01	9.803224e+07
3.213000e+01	7.887937e+07
3.215500e+01	7.860380e+07
3.218000e+01	6.288051e+07
3.220500e+01	7.147814e+07
3.223000e+01	7.225742e+07
3.228000e+01	4.073832e+07
3.238000e+01	6.621514e+07
3.248000e+01	5.440818e+07
3.253000e+01	4.779785e+07
3.283000e+01	7.532694e+07
3.313000e+01	8.253977e+07
3.343000e+01	4.204479e+07
3.373000e+01	6.720279e+07
3.378000e+01	6.432049e+07
3.388000e+01	8.288955e+07
3.398000e+01	8.665989e+07
3.403000e+01	9.471985e+07
3.405500e+01	7.293380e+07
3.408000e+01	7.265182e+07
3.410500e+01	1.146375e+08
3.413000e+01	7.936961e+07
3.415500e+01	6.551107e+07
3.418000e+01	1.155384e+08
3.420500e+01	7.305910e+07
3.423000e+01	6.777620e+07
3.428000e+01	4.080260e+07
3.438000e+01	8.717673e+07
3.448000e+01	7.419943e+07
3.453000e+01	8.861989e+07
3.483000e+01	1.142740e+08
3.513000e+01	5.097794e+07
3.543000e+01	5.383604e+07
3.573000e+01	9.135303e+07
3.578000e+01	9.501579e+07
