# Delay[ns]	Avg Transient	0190 Delay[ns]	0190 Transient	0191 Delay[ns]	0191 Transient	0192 Delay[ns]	0192 Transient	0193 Delay[ns]	0193 Transient	0214 Delay[ns]	0214 Transient	0215 Delay[ns]	0215 Transient	0262 Delay[ns]	0262 Transient	0263 Delay[ns]	0263 Transient	0264 Delay[ns]	0264 Transient
1.161500e+02	1.242921e-02	9.615000e+01	8.853673e-03	1.061500e+02	-4.098526e-03	1.041500e+02	-4.692075e-04	8.815000e+01	8.779124e-03	1.001500e+02	1.658066e-02	1.081500e+02	-1.696153e-03	1.081500e+02	1.734887e-02	1.001500e+02	7.284665e-03	9.615000e+01	1.391367e-02
1.201500e+02	1.138568e-02	9.815000e+01	-3.994867e-04	1.081500e+02	1.043763e-02	1.061500e+02	1.230989e-02	9.015000e+01	-1.393603e-02	1.021500e+02	1.629559e-03	1.101500e+02	2.279092e-03	1.101500e+02	1.544112e-02	1.021500e+02	1.462142e-02	1.001500e+02	-4.138302e-03
1.221500e+02	6.515594e-03	1.001500e+02	1.839897e-02	1.101500e+02	-4.279394e-04	1.101500e+02	1.287102e-02	9.215000e+01	1.145628e-02	1.041500e+02	1.182404e-02	1.141500e+02	1.128667e-02	1.121500e+02	1.448887e-02	1.041500e+02	5.605090e-03	1.021500e+02	-1.920827e-03
1.241500e+02	7.942268e-03	1.021500e+02	1.052995e-02	1.121500e+02	-6.283686e-03	1.121500e+02	5.640051e-03	9.415000e+01	4.234062e-03	1.081500e+02	6.287277e-03	1.161500e+02	1.592591e-02	1.161500e+02	9.540061e-03	1.081500e+02	-6.777144e-04	1.041500e+02	1.048146e-03
1.261500e+02	7.260887e-03	1.041500e+02	3.945421e-03	1.141500e+02	7.356413e-03	1.141500e+02	3.428281e-03	9.615000e+01	4.408334e-04	1.101500e+02	4.898282e-03	1.181500e+02	4.723279e-03	1.181500e+02	5.967063e-03	1.101500e+02	2.024994e-02	1.061500e+02	4.360385e-03
1.281500e+02	5.293642e-03	1.061500e+02	6.701307e-03	1.161500e+02	1.039541e-02	1.181500e+02	1.165445e-02	9.815000e+01	5.352718e-03	1.121500e+02	2.730713e-03	1.201500e+02	1.157926e-02	1.201500e+02	1.594225e-02	1.121500e+02	-7.220216e-03	1.081500e+02	2.160711e-02
1.301500e+02	7.363813e-03	1.081500e+02	1.215905e-02	1.181500e+02	-2.224128e-04	1.201500e+02	-7.636928e-03	1.001500e+02	2.187959e-02	1.141500e+02	2.259652e-03	1.221500e+02	1.257592e-03	1.241500e+02	7.991427e-03	1.141500e+02	1.239538e-02	1.101500e+02	1.380691e-02
1.341500e+02	6.113392e-03	1.101500e+02	1.217118e-02	1.201500e+02	1.718122e-02	1.221500e+02	6.538049e-03	1.021500e+02	1.379762e-02	1.161500e+02	5.416852e-03	1.241500e+02	1.760437e-03	1.261500e+02	4.697073e-03	1.161500e+02	1.626726e-02	1.121500e+02	1.239802e-02
1.361500e+02	6.589747e-03	1.121500e+02	3.042981e-03	1.221500e+02	8.572576e-03	1.241500e+02	1.328921e-02	1.041500e+02	-5.675843e-04	1.181500e+02	4.749513e-03	1.261500e+02	1.917458e-02	1.301500e+02	1.343498e-02	1.181500e+02	1.747014e-04	1.141500e+02	8.262912e-03
1.381500e+02	7.722207e-03	1.141500e+02	5.070491e-03	1.261500e+02	7.355147e-03	1.261500e+02	5.825606e-03	1.061500e+02	1.277676e-02	1.201500e+02	6.758265e-03	1.281500e+02	-1.437682e-03	1.321500e+02	1.919683e-02	1.201500e+02	1.397886e-02	1.161500e+02	2.295077e-02
1.421500e+02	5.621459e-03	1.161500e+02	1.737609e-02	1.281500e+02	6.127091e-03	1.281500e+02	1.090232e-02	1.081500e+02	1.866409e-02	1.241500e+02	1.821374e-02	1.321500e+02	5.509148e-03	1.341500e+02	4.339429e-03	1.221500e+02	1.227622e-02	1.201500e+02	2.126415e-02
1.441500e+02	4.674735e-03	1.181500e+02	1.165083e-02	1.301500e+02	1.855049e-03	1.301500e+02	2.896147e-03	1.121500e+02	1.545053e-02	1.261500e+02	7.815751e-03	1.361500e+02	6.779171e-03	1.361500e+02	1.285260e-02	1.241500e+02	-1.872745e-03	1.241500e+02	2.946884e-03
1.461500e+02	8.241238e-03	1.201500e+02	1.009152e-02	1.321500e+02	6.134226e-03	1.321500e+02	7.286981e-03	1.141500e+02	2.550975e-03	1.281500e+02	1.550259e-02	1.381500e+02	3.938713e-03	1.381500e+02	7.145889e-03	1.261500e+02	9.454868e-03	1.261500e+02	9.134589e-03
1.481500e+02	8.217649e-05	1.221500e+02	1.067550e-02	1.341500e+02	1.558120e-03	1.341500e+02	1.704902e-02	1.161500e+02	7.387908e-03	1.301500e+02	1.912749e-02	1.421500e+02	2.291034e-03	1.401500e+02	1.478624e-02	1.301500e+02	1.755988e-02	1.281500e+02	-9.360593e-04
