# Delay[ns]	Avg Transient	0148 Delay[ns]	0148 Transient	0149 Delay[ns]	0149 Transient	0150 Delay[ns]	0150 Transient	0151 Delay[ns]	0151 Transient	0152 Delay[ns]	0152 Transient	0216 Delay[ns]	0216 Transient	0217 Delay[ns]	0217 Transient	0218 Delay[ns]	0218 Transient
5.615000e+01	2.085247e-02	4.815000e+01	1.843235e-02	4.615000e+01	5.218811e-02	4.615000e+01	5.834380e-02	4.615000e+01	-2.974985e-02	4.415000e+01	-2.832116e-02	6.015000e+01	5.027161e-02	5.015000e+01	-5.289545e-02	5.215000e+01	3.581519e-02
5.815000e+01	2.168775e-02	5.015000e+01	1.896489e-02	4.815000e+01	5.418674e-02	4.815000e+01	-1.342538e-02	4.815000e+01	-4.312880e-02	4.615000e+01	-2.959731e-02	6.415000e+01	6.820629e-02	5.215000e+01	-1.681943e-02	5.415000e+01	-9.099796e-03
6.015000e+01	4.158597e-03	5.215000e+01	-1.948253e-02	5.015000e+01	-2.374291e-02	5.015000e+01	3.420476e-02	5.015000e+01	-1.396046e-03	4.815000e+01	-3.250196e-03	6.615000e+01	2.543657e-02	5.415000e+01	-2.643855e-02	5.615000e+01	3.365379e-02
6.215000e+01	4.040670e-03	5.615000e+01	3.752191e-02	5.215000e+01	-3.766379e-02	5.215000e+01	-2.060267e-02	5.215000e+01	3.938941e-03	5.215000e+01	6.363745e-02	6.815000e+01	-1.487455e-03	5.615000e+01	-3.023913e-02	5.815000e+01	2.683504e-02
6.415000e+01	2.810947e-02	5.815000e+01	5.506800e-02	5.415000e+01	4.205424e-02	5.415000e+01	-2.296632e-02	5.615000e+01	-7.803613e-03	5.415000e+01	5.420415e-02	7.015000e+01	2.383429e-02	6.015000e+01	4.223685e-03	6.015000e+01	-2.137724e-02
6.615000e+01	-8.966296e-03	6.015000e+01	-4.763669e-02	5.615000e+01	-4.019796e-02	5.615000e+01	5.293863e-02	5.815000e+01	5.020775e-02	5.615000e+01	6.563628e-02	7.215000e+01	5.167145e-03	6.215000e+01	-3.925928e-03	6.215000e+01	2.060421e-02
6.815000e+01	2.718396e-02	6.215000e+01	8.377134e-03	5.815000e+01	-7.099736e-02	6.015000e+01	1.715823e-03	6.015000e+01	-1.382620e-02	6.015000e+01	1.113999e-01	7.415000e+01	-2.995604e-03	6.415000e+01	-1.243981e-02	6.415000e+01	-4.108510e-02
7.015000e+01	2.792645e-02	6.415000e+01	6.829982e-02	6.215000e+01	-1.824125e-02	6.215000e+01	3.707574e-02	6.215000e+01	-2.766533e-02	6.415000e+01	1.296308e-01	7.815000e+01	1.680725e-03	6.615000e+01	1.072211e-02	6.615000e+01	-1.445574e-02
7.215000e+01	2.175577e-02	6.615000e+01	-5.116048e-02	6.615000e+01	-6.482498e-02	6.415000e+01	2.510638e-02	6.415000e+01	-2.265937e-03	6.615000e+01	5.287186e-03	8.215000e+01	2.578803e-02	7.015000e+01	6.475791e-03	6.815000e+01	2.345209e-02
7.415000e+01	-7.611269e-03	6.815000e+01	1.538544e-02	6.815000e+01	-7.069413e-03	6.615000e+01	-1.272566e-02	6.615000e+01	2.999062e-02	6.815000e+01	5.109016e-02	8.615000e+01	8.083068e-02	7.215000e+01	2.922308e-03	7.015000e+01	2.947098e-02
