# Delay[ns]	Avg Transient	019 Delay[ns]	019 Transient	0196 Delay[ns]	0196 Transient	0197 Delay[ns]	0197 Transient	019 Delay[ns]	019 Transient	0199 Delay[ns]	0199 Transient	0201 Delay[ns]	0201 Transient	0202 Delay[ns]	0202 Transient
1.021500e+02	2.162879e-02	1.021500e+02	1.791831e-02	1.021500e+02	2.805778e-02	1.021500e+02	2.380586e-02	1.141500e+02	9.626744e-03	1.141500e+02	3.354980e-02	1.141500e+02	-5.037258e-03	1.141500e+02	1.752594e-02
1.041500e+02	1.850786e-02	1.041500e+02	2.468437e-02	1.041500e+02	1.312450e-02	1.041500e+02	1.413445e-02	1.161500e+02	4.822902e-02	1.161500e+02	4.410599e-02	1.161500e+02	-3.998399e-04	1.161500e+02	1.143243e-02
1.061500e+02	2.022068e-02	1.061500e+02	2.363080e-02	1.061500e+02	2.919522e-02	1.061500e+02	2.450259e-03	1.181500e+02	5.850574e-02	1.181500e+02	1.182100e-02	1.181500e+02	2.522148e-02	1.181500e+02	2.575404e-02
1.081500e+02	7.897805e-03	1.081500e+02	2.292414e-02	1.081500e+02	-1.075857e-02	1.081500e+02	3.377503e-02	1.201500e+02	2.267695e-02	1.201500e+02	2.251854e-02	1.201500e+02	4.302106e-02	1.201500e+02	1.098921e-02
1.101500e+02	2.760671e-02	1.101500e+02	3.469584e-02	1.101500e+02	4.997053e-02	1.101500e+02	1.956312e-02	1.221500e+02	9.031845e-03	1.221500e+02	5.329254e-02	1.221500e+02	2.448578e-02	1.221500e+02	1.850931e-02
1.121500e+02	2.693159e-02	1.121500e+02	3.239806e-02	1.121500e+02	1.342950e-02	1.121500e+02	3.399708e-02	1.241500e+02	1.872886e-02	1.241500e+02	2.121118e-02	1.241500e+02	1.164760e-02	1.241500e+02	8.869698e-03
1.141500e+02	1.776410e-02	1.141500e+02	1.295524e-02	1.141500e+02	3.695031e-02	1.141500e+02	1.877793e-02	1.261500e+02	1.686826e-02	1.261500e+02	2.840513e-02	1.261500e+02	5.260067e-03	1.261500e+02	2.034042e-03
1.161500e+02	2.496370e-02	1.161500e+02	2.233508e-02	1.161500e+02	1.725460e-02	1.161500e+02	3.178862e-02	1.281500e+02	4.064242e-02	1.281500e+02	1.826845e-02	1.281500e+02	1.867339e-03	1.281500e+02	1.512964e-02
1.181500e+02	2.885656e-02	1.181500e+02	2.156157e-02	1.181500e+02	3.490488e-02	1.181500e+02	2.422722e-02	1.301500e+02	2.721159e-02	1.301500e+02	2.464183e-02	1.301500e+02	-9.062616e-05	1.301500e+02	1.287259e-02
1.201500e+02	2.774772e-02	1.201500e+02	3.437062e-02	1.201500e+02	2.282926e-02	1.201500e+02	3.782839e-02	1.321500e+02	4.272865e-02	1.321500e+02	2.710776e-02	1.321500e+02	6.953384e-03	1.321500e+02	1.903299e-02
