# Delay[ns]	Avg Transient	0233 Delay[ns]	0233 Transient	0234 Delay[ns]	0234 Transient	0235 Delay[ns]	0235 Transient	0236 Delay[ns]	0236 Transient	0237 Delay[ns]	0237 Transient	0241 Delay[ns]	0241 Transient	0256 Delay[ns]	0256 Transient	0260 Delay[ns]	0260 Transient
2.321500e+02	3.171176e-03	2.121500e+02	9.821311e-03	2.201500e+02	1.205400e-02	2.041500e+02	2.115859e-02	1.841500e+02	-5.765078e-03	2.081500e+02	-1.244545e-02	2.061500e+02	8.525083e-03	1.801500e+02	2.387404e-05	2.001500e+02	2.336407e-03
2.341500e+02	9.126459e-03	2.161500e+02	-9.222548e-03	2.221500e+02	-7.983597e-03	2.061500e+02	1.507189e-02	1.861500e+02	3.239016e-04	2.101500e+02	8.390423e-03	2.081500e+02	5.901877e-03	1.821500e+02	2.089583e-02	2.021500e+02	5.637254e-03
2.361500e+02	1.452712e-02	2.181500e+02	-4.392973e-03	2.261500e+02	7.178558e-03	2.081500e+02	-1.408105e-02	1.881500e+02	3.345427e-03	2.121500e+02	3.001669e-02	2.101500e+02	3.447038e-03	1.841500e+02	1.505580e-02	2.061500e+02	2.550642e-02
2.381500e+02	8.077961e-03	2.201500e+02	5.641519e-03	2.281500e+02	6.818804e-03	2.121500e+02	-1.075012e-02	1.901500e+02	-9.397280e-03	2.141500e+02	-1.321707e-03	2.121500e+02	1.138971e-02	1.861500e+02	1.393208e-02	2.081500e+02	1.946735e-02
2.401500e+02	8.332470e-03	2.241500e+02	4.137635e-03	2.301500e+02	1.244412e-02	2.161500e+02	1.017375e-02	1.921500e+02	-1.555920e-02	2.161500e+02	-2.783069e-02	2.141500e+02	9.769915e-03	1.881500e+02	5.131569e-03	2.101500e+02	6.028411e-03
2.421500e+02	-9.216494e-05	2.261500e+02	-6.353584e-03	2.321500e+02	1.605421e-02	2.181500e+02	3.210403e-02	1.941500e+02	2.121257e-02	2.181500e+02	8.064209e-03	2.161500e+02	1.469711e-02	1.901500e+02	1.581938e-02	2.121500e+02	3.568334e-03
2.441500e+02	5.832509e-03	2.281500e+02	-4.341007e-03	2.361500e+02	1.052309e-02	2.201500e+02	7.864980e-03	1.961500e+02	-3.730413e-04	2.201500e+02	-1.432657e-02	2.181500e+02	3.804265e-02	1.921500e+02	8.075545e-03	2.161500e+02	1.411198e-02
2.461500e+02	1.735844e-02	2.301500e+02	2.406586e-03	2.381500e+02	2.219733e-02	2.221500e+02	1.010489e-02	2.001500e+02	2.341423e-02	2.221500e+02	-7.479322e-03	2.201500e+02	2.867034e-02	1.941500e+02	1.099862e-02	2.181500e+02	3.102403e-02
2.481500e+02	1.085121e-02	2.321500e+02	7.530466e-03	2.421500e+02	-3.640468e-03	2.241500e+02	-1.621589e-02	2.041500e+02	-1.272303e-02	2.241500e+02	3.236183e-02	2.221500e+02	1.111654e-02	1.981500e+02	1.749279e-02	2.201500e+02	3.531469e-03
2.501500e+02	1.041809e-02	2.341500e+02	1.748168e-02	2.441500e+02	-7.432330e-04	2.261500e+02	-4.892893e-03	2.061500e+02	1.862477e-02	2.261500e+02	1.338954e-02	2.241500e+02	-1.088357e-02	2.001500e+02	1.875393e-02	2.221500e+02	1.025161e-02
