# Delay[ns]	Avg Transient	0137 Delay[ns]	0137 Transient	0138 Delay[ns]	0138 Transient	0139 Delay[ns]	0139 Transient
2.021500e+02	4.333846e-03	2.021500e+02	8.201014e-03	2.101500e+02	-1.184966e-03	1.921500e+02	1.967365e-02
2.061500e+02	3.375782e-02	2.041500e+02	1.718147e-02	2.141500e+02	3.197426e-02	1.941500e+02	1.969728e-02
2.081500e+02	3.089921e-02	2.061500e+02	3.376969e-02	2.161500e+02	2.901443e-02	1.961500e+02	1.819959e-02
2.101500e+02	4.225962e-03	2.081500e+02	6.438614e-02	2.181500e+02	3.355481e-02	1.981500e+02	1.534067e-02
2.141500e+02	2.554045e-02	2.101500e+02	3.132077e-02	2.221500e+02	-1.842514e-02	2.001500e+02	-7.936217e-03
2.161500e+02	1.331473e-02	2.121500e+02	1.320464e-02	2.241500e+02	4.900891e-02	2.021500e+02	-2.006519e-02
2.181500e+02	3.264644e-02	2.141500e+02	3.078716e-02	2.261500e+02	3.500171e-03	2.041500e+02	3.442532e-02
2.201500e+02	2.002049e-02	2.161500e+02	2.851835e-02	2.281500e+02	3.516354e-02	2.061500e+02	2.282172e-02
2.221500e+02	5.586733e-03	2.181500e+02	1.803656e-02	2.301500e+02	5.640169e-02	2.081500e+02	-3.173858e-03
2.241500e+02	4.939197e-02	2.201500e+02	3.672371e-02	2.321500e+02	2.751758e-02	2.101500e+02	-1.745792e-02
2.261500e+02	1.351557e-02	2.241500e+02	5.455204e-02	2.341500e+02	6.003849e-03	2.141500e+02	1.385992e-02
2.281500e+02	3.034302e-02	2.261500e+02	1.597988e-02	2.361500e+02	9.335510e-03	2.161500e+02	-1.758860e-02
2.301500e+02	3.015730e-02	2.281500e+02	5.479681e-02	2.381500e+02	-9.775744e-03	2.181500e+02	4.634796e-02
2.321500e+02	2.152156e-02	2.301500e+02	3.215041e-02	2.401500e+02	-8.263750e-03	2.201500e+02	2.765093e-02
2.341500e+02	3.812127e-03	2.321500e+02	4.738012e-02	2.441500e+02	1.807287e-02	2.221500e+02	-1.548620e-03
2.361500e+02	1.547145e-02	2.341500e+02	-5.589060e-03	2.461500e+02	2.018316e-02	2.241500e+02	4.461497e-02
2.381500e+02	1.936739e-04	2.361500e+02	3.700385e-02	2.481500e+02	-2.102498e-02	2.281500e+02	1.068721e-03
2.401500e+02	2.213030e-02	2.381500e+02	-4.522886e-03	2.501500e+02	-2.669542e-03	2.301500e+02	1.919800e-03
2.421500e+02	3.745810e-02	2.401500e+02	5.934807e-02	2.521500e+02	3.245460e-02	2.321500e+02	-1.033304e-02
2.441500e+02	3.449276e-02	2.441500e+02	7.648080e-02	2.541500e+02	2.238636e-02	2.341500e+02	1.102159e-02
2.461500e+02	2.242196e-02	2.461500e+02	-3.242290e-03	2.561500e+02	2.901634e-02	2.381500e+02	1.487965e-02
2.481500e+02	1.003844e-02	2.481500e+02	5.674344e-02	2.581500e+02	2.984785e-02	2.401500e+02	1.530660e-02
