# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0255 Delay[ns]	0255 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
1.081500e+02	-1.581440e-02	9.415000e+01	-5.097403e-02	1.081500e+02	-2.898545e-02	1.001500e+02	-3.240710e-02	1.001500e+02	6.767141e-03	8.615000e+01	-3.327816e-02	9.015000e+01	-1.960141e-02
1.121500e+02	-1.076537e-02	9.615000e+01	7.125323e-03	1.101500e+02	-2.427284e-02	1.021500e+02	1.154075e-02	1.021500e+02	-2.252773e-02	9.015000e+01	-1.391001e-03	9.215000e+01	-8.466916e-03
1.141500e+02	9.194148e-03	9.815000e+01	-2.903746e-02	1.121500e+02	-5.227873e-02	1.041500e+02	-2.508268e-02	1.041500e+02	-6.517380e-02	9.215000e+01	-5.179605e-02	9.415000e+01	2.696762e-02
1.161500e+02	-1.187610e-02	1.001500e+02	6.496597e-03	1.141500e+02	-1.536900e-02	1.061500e+02	-2.239020e-02	1.061500e+02	-1.983057e-02	9.415000e+01	2.137698e-02	9.815000e+01	-6.546604e-02
1.181500e+02	5.566064e-03	1.041500e+02	7.495978e-03	1.161500e+02	1.056197e-03	1.081500e+02	-5.325164e-02	1.081500e+02	1.501652e-02	9.615000e+01	-1.733945e-02	1.001500e+02	-1.303028e-02
1.201500e+02	-1.903707e-02	1.061500e+02	-1.207803e-02	1.181500e+02	-4.374874e-04	1.101500e+02	-2.132008e-02	1.101500e+02	-2.106036e-02	9.815000e+01	1.688408e-02	1.041500e+02	1.441884e-02
1.221500e+02	-1.293367e-02	1.081500e+02	-5.730736e-02	1.201500e+02	-5.060912e-02	1.141500e+02	3.860005e-02	1.121500e+02	-5.500388e-02	1.001500e+02	-2.840955e-02	1.061500e+02	-1.658830e-02
1.241500e+02	-1.287693e-02	1.121500e+02	2.592977e-02	1.241500e+02	-4.578603e-02	1.181500e+02	-2.813603e-02	1.161500e+02	-5.397440e-03	1.021500e+02	2.189264e-02	1.081500e+02	3.215355e-02
1.261500e+02	-1.929086e-02	1.141500e+02	1.678380e-02	1.261500e+02	-2.086994e-02	1.201500e+02	-1.208533e-02	1.201500e+02	3.235715e-03	1.041500e+02	-8.490391e-04	1.101500e+02	-4.602220e-03
1.281500e+02	-1.718517e-02	1.181500e+02	4.587158e-02	1.281500e+02	-1.751736e-02	1.221500e+02	-4.265020e-02	1.241500e+02	-4.843204e-02	1.061500e+02	-4.023875e-02	1.121500e+02	-3.595662e-03
1.301500e+02	-3.166533e-03	1.221500e+02	-8.116684e-03	1.301500e+02	7.640735e-04	1.241500e+02	1.212787e-02	1.261500e+02	-5.808673e-02	1.081500e+02	-2.512023e-03	1.141500e+02	-1.405765e-02
1.321500e+02	-1.483507e-02	1.241500e+02	2.874255e-02	1.321500e+02	-2.698493e-02	1.261500e+02	6.722905e-03	1.301500e+02	-5.739749e-02	1.121500e+02	1.135156e-02	1.161500e+02	-7.830514e-03
1.341500e+02	-1.955796e-02	1.281500e+02	-2.607594e-02	1.341500e+02	-1.043317e-02	1.281500e+02	-4.326798e-02	1.321500e+02	1.323891e-03	1.141500e+02	1.947469e-02	1.201500e+02	-9.971952e-03
1.361500e+02	-2.148792e-02	1.301500e+02	-1.553757e-02	1.361500e+02	-2.361373e-02	1.301500e+02	3.294356e-02	1.341500e+02	-1.038457e-02	1.161500e+02	-3.147394e-02	1.221500e+02	6.021777e-03
1.381500e+02	-2.264114e-02	1.321500e+02	1.520063e-02	1.381500e+02	-2.453767e-02	1.321500e+02	-2.120834e-02	1.361500e+02	-3.494540e-03	1.181500e+02	2.384608e-02	1.261500e+02	-1.525068e-02
1.401500e+02	8.768390e-03	1.341500e+02	1.655862e-02	1.401500e+02	9.481984e-03	1.361500e+02	-2.653268e-02	1.381500e+02	-3.542787e-02	1.201500e+02	-5.366125e-03	1.281500e+02	-3.490769e-02
1.421500e+02	-1.788532e-02	1.361500e+02	-2.191590e-02	1.441500e+02	-2.419904e-02	1.381500e+02	-1.004537e-02	1.401500e+02	1.552126e-02	1.221500e+02	-7.146562e-03	1.301500e+02	3.076302e-02
1.441500e+02	-1.548954e-02	1.381500e+02	-2.373425e-03	1.461500e+02	-1.599120e-02	1.401500e+02	2.202006e-02	1.441500e+02	-6.712638e-03	1.241500e+02	-1.368478e-02	1.321500e+02	-5.398122e-02
1.461500e+02	-6.013965e-03	1.401500e+02	-2.479421e-02	1.481500e+02	-2.042557e-02	1.441500e+02	-5.839276e-02	1.461500e+02	-8.375369e-03	1.281500e+02	3.096747e-02	1.341500e+02	-7.842195e-04
1.481500e+02	-3.873362e-03	1.441500e+02	1.494693e-02	1.501500e+02	-4.235774e-02	1.481500e+02	-1.760746e-02	1.481500e+02	-3.085453e-02	1.301500e+02	-1.053479e-02	1.381500e+02	-1.890575e-02
1.501500e+02	-1.274636e-02	1.461500e+02	-2.103362e-02	1.521500e+02	2.780733e-02	1.501500e+02	-2.906720e-02	1.501500e+02	-4.658298e-03	1.321500e+02	-3.360432e-03	1.401500e+02	1.214019e-02
1.521500e+02	-7.701365e-03	1.501500e+02	9.906538e-03	1.561500e+02	-1.114810e-02	1.521500e+02	-6.727756e-03	1.541500e+02	-1.286489e-02	1.341500e+02	-3.698875e-02	1.421500e+02	-5.869466e-03
1.561500e+02	-8.584959e-03	1.521500e+02	-6.326906e-02	1.581500e+02	-2.746017e-02	1.541500e+02	8.770874e-03	1.561500e+02	-1.608435e-02	1.361500e+02	-3.148645e-02	1.441500e+02	-1.840955e-02
1.581500e+02	-2.577130e-02	1.561500e+02	-2.354992e-02	1.601500e+02	7.197756e-03	1.561500e+02	-4.279495e-03	1.581500e+02	-3.974109e-02	1.381500e+02	-4.455679e-02	1.461500e+02	2.263641e-02
1.621500e+02	5.544091e-05	1.601500e+02	2.062762e-02	1.621500e+02	-3.207423e-02	1.581500e+02	-3.489607e-02	1.601500e+02	-3.860599e-02	1.401500e+02	1.824105e-02	1.481500e+02	1.481607e-02
1.641500e+02	-1.139274e-02	1.621500e+02	-8.440070e-03	1.661500e+02	-2.353098e-02	1.601500e+02	-1.275043e-02	1.621500e+02	-2.953960e-03	1.421500e+02	3.081244e-02	1.501500e+02	-1.504409e-02
1.661500e+02	-9.643135e-03	1.641500e+02	1.618782e-02	1.701500e+02	-4.041150e-02	1.641500e+02	-3.099003e-02	1.661500e+02	-3.512694e-03	1.441500e+02	-1.702031e-04	1.521500e+02	-3.789329e-03
1.681500e+02	-8.165323e-03	1.681500e+02	1.668165e-02	1.721500e+02	1.921980e-02	1.661500e+02	1.447616e-02	1.701500e+02	-2.622214e-02	1.461500e+02	-3.385914e-03	1.541500e+02	2.370140e-02
