# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
1.081500e+02	2.409815e-02	1.081500e+02	3.787406e-02	1.081500e+02	2.371257e-02	1.081500e+02	1.832931e-02	1.081500e+02	2.074725e-03	1.081500e+02	3.850010e-02
1.101500e+02	1.960563e-02	1.101500e+02	4.075970e-02	1.101500e+02	1.778765e-02	1.101500e+02	-6.742654e-04	1.101500e+02	2.054921e-02	1.101500e+02	1.960584e-02
1.121500e+02	1.065909e-02	1.121500e+02	2.051443e-02	1.121500e+02	1.239861e-03	1.121500e+02	-1.267735e-02	1.121500e+02	2.319323e-02	1.121500e+02	2.102528e-02
1.141500e+02	2.139791e-02	1.141500e+02	3.222377e-02	1.141500e+02	3.591655e-02	1.141500e+02	1.478233e-02	1.141500e+02	2.332018e-02	1.141500e+02	7.467165e-04
1.161500e+02	2.301183e-02	1.161500e+02	6.053831e-02	1.161500e+02	1.179473e-02	1.161500e+02	7.573149e-03	1.161500e+02	1.565626e-02	1.161500e+02	1.949671e-02
1.181500e+02	2.978226e-02	1.181500e+02	3.779199e-02	1.181500e+02	2.736184e-02	1.181500e+02	2.253834e-02	1.181500e+02	3.685913e-02	1.181500e+02	2.436000e-02
1.201500e+02	2.982693e-02	1.201500e+02	3.213844e-02	1.201500e+02	4.547030e-02	1.201500e+02	2.436446e-02	1.201500e+02	2.151634e-02	1.201500e+02	2.564509e-02
1.221500e+02	2.641553e-02	1.221500e+02	3.788320e-02	1.221500e+02	3.901686e-02	1.221500e+02	6.891654e-03	1.221500e+02	2.482337e-02	1.221500e+02	2.346257e-02
1.241500e+02	2.254557e-02	1.241500e+02	2.722314e-02	1.241500e+02	9.125446e-03	1.241500e+02	2.102908e-02	1.241500e+02	2.581596e-02	1.241500e+02	2.953424e-02
1.261500e+02	1.711704e-02	1.261500e+02	2.143663e-02	1.261500e+02	2.819060e-02	1.261500e+02	2.425074e-02	1.261500e+02	1.562125e-02	1.261500e+02	-3.914005e-03
1.281500e+02	2.634134e-02	1.281500e+02	3.129529e-02	1.281500e+02	1.849695e-02	1.281500e+02	2.006097e-02	1.281500e+02	2.982134e-02	1.281500e+02	3.203217e-02
1.301500e+02	2.083052e-02	1.301500e+02	2.495913e-02	1.301500e+02	8.504772e-04	1.301500e+02	7.457892e-03	1.301500e+02	3.143259e-02	1.301500e+02	3.945249e-02
1.321500e+02	2.443203e-02	1.321500e+02	3.143447e-02	1.321500e+02	2.038968e-03	1.321500e+02	3.107076e-02	1.321500e+02	3.395730e-02	1.321500e+02	2.365866e-02
1.341500e+02	2.446052e-02	1.341500e+02	6.708478e-03	1.341500e+02	3.421136e-02	1.341500e+02	2.531071e-02	1.341500e+02	3.089440e-02	1.341500e+02	2.517765e-02
